  simno it age mass belief forage env state info
   1    1    1  1.00 0.500 0.000    0    1 0.000000000000000
   1    1    2  2.00 0.598 0.804    0    1 0.000000725800000
   1    1    3  3.00 0.690 0.778    0    1 0.000000578154265
   1    1    4  4.00 0.768 0.754    0    1 0.000000407145147
   1    1    5  4.00 0.723 0.738    0    1 0.000000253579176
   1    1    6  5.00 0.795 0.748    0    0 0.000000351943355
   1    2    1  1.00 0.500 0.000    0    1 0.000000000000000
   1    2    2  2.00 0.598 0.804    0    1 0.000000725800000
   1    2    3  2.00 0.534 0.778    0    1 0.000000578154265
   1    2    4  2.00 0.466 0.796    0    1 0.000000707350527
   1    2    5  3.00 0.565 0.816    0    1 0.000000811471778
   1    2    6  4.00 0.660 0.788    0    1 0.000000692018848
   1    2    7  5.00 0.743 0.762    0    1 0.000000504886251
   1    2    8  6.00 0.812 0.744    0    1 0.000000329206359
   1    2    9  6.00 0.773 0.728    0    1 0.000000196053321
   1    2   10  7.00 0.836 0.737    0    1 0.000000275835098
   1    2   11  7.00 0.801 0.724    0    1 0.000000158282968
   1    2   12  8.00 0.857 0.732    0    1 0.000000231814617
   1    2   13  9.00 0.900 0.720    0    1 0.000000123057368
   1    2   14  9.00 0.877 0.712    0    1 0.000000066280643
   1    2   15 10.00 0.914 0.716    0    1 0.000000099566405
   1    2   16 10.00 0.895 0.708    0    1 0.000000050812955
   1    2   17 10.00 0.871 0.712    0    1 0.000000074261869
   1    2   18 10.00 0.843 0.717    0    1 0.000000113375297
   1    2   19 10.00 0.810 0.722    0    1 0.000000170273620
   1    2   20 10.00 0.771 0.730    0    1 0.000000251700755
   1    2   21 10.00 0.726 0.738    0    1 0.000000356247363
   1    2   22 10.00 0.675 0.748    0    1 0.000000496877020
   1    2   23 11.00 0.756 0.761    0    1 0.000000670909498
   1    2   24 11.00 0.708 0.742    0    1 0.000000424143206
   1    2   25 11.00 0.654 0.754    0    1 0.000000590050982
   1    2   26 11.00 0.594 0.768    0    1 0.000000786873169
   1    2   27 11.00 0.529 0.784    0    1 0.000001015482841
   1    2   28 11.00 0.460 0.803    0    1 0.000001231027408
   1    2   29 12.00 0.559 0.824    0    1 0.000001392486085
   1    2   30 13.00 0.654 0.794    0    1 0.000001202074972
   1    2   31 13.00 0.594 0.768    0    1 0.000000892018191
   1    2   32 14.00 0.685 0.784    0    1 0.000001156085909
   1    2   33 15.00 0.765 0.760    0    1 0.000000814686802
   1    2   34 16.00 0.829 0.742    0    1 0.000000511089822
   1    2   35 16.00 0.793 0.727    0    1 0.000000293198793
   1    2   36 16.00 0.751 0.735    0    1 0.000000421453203
   1    2   37 16.00 0.703 0.745    0    1 0.000000607389853
   1    2   38 16.00 0.648 0.757    0    1 0.000000844552890
   1    2   39 17.00 0.733 0.772    0    1 0.000001132024532
   1    2   40 18.00 0.803 0.750    0    1 0.000000742174431
   1    2   41 19.00 0.859 0.733    0    1 0.000000438267778
   1    2   42 20.00 0.901 0.720    0    1 0.000000224806952
   1    2   43 20.00 0.879 0.711    0    1 0.000000129068395
   1    2   44 21.00 0.915 0.716    0    1 0.000000182985694
   1    2   45 22.00 0.942 0.708    0    1 0.000000094310444
   1    2   46 23.00 0.960 0.704    0    1 0.000000051713739
   1    2   47 24.00 0.973 0.700    0    1 0.000000015539132
   1    2   48 25.00 0.982 0.698    0    1 0.000000008442041
   1    2   49 25.00 0.977 0.696    0    0 -0.000000000128829
   1    3    1  1.00 0.500 0.000    0    1 0.000000000000000
   1    3    2  2.00 0.598 0.804    0    1 0.000000725800000
   1    3    3  3.00 0.690 0.778    0    1 0.000000578154265
   1    3    4  4.00 0.768 0.754    0    1 0.000000407145147
   1    3    5  5.00 0.832 0.738    0    1 0.000000253579176
   1    3    6  5.00 0.796 0.724    0    1 0.000000144358933
   1    3    7  6.00 0.854 0.732    0    1 0.000000212202841
   1    3    8  7.00 0.897 0.720    0    1 0.000000119964386
   1    3    9  7.00 0.874 0.712    0    1 0.000000059684189
   1    3   10  8.00 0.912 0.716    0    1 0.000000093875598
   1    3   11  9.00 0.939 0.708    0    1 0.000000045724340
   1    3   12  9.00 0.925 0.704    0    0 0.000000025818646
   1    4    1  1.00 0.500 0.000    0    1 0.000000000000000
   1    4    2  2.00 0.598 0.804    0    1 0.000000725800000
   1    4    3  3.00 0.690 0.778    0    1 0.000000578154265
   1    4    4  4.00 0.768 0.754    0    1 0.000000407145147
   1    4    5  5.00 0.832 0.738    0    1 0.000000253579176
   1    4    6  6.00 0.881 0.724    0    1 0.000000144358933
   1    4    7  6.00 0.854 0.714    0    1 0.000000079353441
   1    4    8  6.00 0.823 0.720    0    1 0.000000118737028
   1    4    9  6.00 0.787 0.726    0    1 0.000000174140587
